angle,height
40,2.28
41,2.28
42,2.28
43,2.26
44,2.33
45,2.74
46,2.33
47,2.33
48,2.38
49,2.38
50,2.37
51,2.38
52,2.85
53,2.85
54,2.85
55,3.31
56,4.13
57,3.72
58,2.08
59,2.11
60,2.18
61,2.74
62,2.74
63,3.26
64,2.38
65,2.49
66,2.49
67,3.05
68,3.1
69,3.16
70,2.8
71,2.38
72,2.9
73,3.36
74,2.95
75,3.46
76,3.52
77,3.16
78,2.85
79,2.85
80,3.82
81,3.41
82,3.57
83,3.57
84,3.67
85,3.26
86,3.31
87,3.77
88,3.82
89,4.34
90,3.98
91,4.08
92,3.67
93,3.72
94,4.2
95,4.72
96,4.82
97,4.49
98,4.49
99,4.13
100,4.61
101,5.13
102,5.13
103,4.87
104,4.92
105,4.97
106,4.56
107,5.08
108,5.54
109,5.69
110,5.28
111,4.92
112,4.97
113,4.97
114,5.49
115,5.95
116,6.11
117,5.69
118,5.8
119,5.39
120,5.44
121,5.9
122,6.41
123,6.48
124,6.16
125,6.21
126,6.26
127,5.85
128,6.38
129,6.83
130,6.95
131,6.57
132,6.21
133,6.26
134,6.74
135,7.31
136,7.31
137,7
138,7.46
139,6.69
140,6.69
141,7.19
142,7.67
143,7.77
144,7.77
145,7.41
146,7.44
147,7.49
148,7.1
149,7.15
150,8.13
151,8.13
152,8.23
153,7.87
154,7.51
155,7.51
156,7.56
157,8.03
158,8.54
159,8.59
160,9.06
161,8.73
162,8.28
163,8.33
164,8.39
165,7.97
166,8.44
167,8.9
168,9
169,9.11
170,9.12
171,8.35
172,8.33
173,8.39
174,8.85
175,8.87
176,9.31
177,9.38
178,9.43
179,9.47
180,9.52
180,9.57
179,9.18
178,9.18
177,9.59
176,9.18
175,9.16
174,9.59
173,9.59
172,9.59
171,9.59
170,9.59
169,9.59
168,9.59
167,9.54
166,9.54
165,9.54
164,9.95
163,9.48
162,9.43
161,9.38
160,9.38
159,9.33
158,8.87
157,8.85
156,8.8
155,8.76
154,9.16
153,9.12
152,9.06
151,8.97
150,8.97
149,8.44
148,8.39
147,8.33
146,8.73
145,8.73
144,8.59
143,8.49
142,8.03
141,7.97
140,7.92
139,8.28
138,8.18
137,8.13
136,7.56
135,7.51
134,7.87
133,7.82
132,7.67
131,7.2
130,6.69
129,7.1
128,7.05
127,7.36
126,7.31
125,6.79
124,6.26
123,6.62
122,6.57
121,7.36
120,6.89
119,6.31
118,5.85
117,6.21
116,6.16
115,6.52
114,6.47
113,5.9
112,5.44
111,5.85
110,5.8
109,6.11
108,6.05
107,5.95
106,5.44
105,4.97
104,5.39
103,5.33
102,5.08
101,5.08
100,4.56
99,4.56
98,5.18
97,5.18
96,4.66
95,4.13
94,4.08
93,4.92
92,4.46
91,4.46
90,4.77
89,3.72
88,4.08
87,4.03
86,4.39
85,4.36
84,4.34
83,3.26
82,3.67
81,3.98
80,3.52
79,3.93
78,3.93
77,3.26
76,3.21
75,3.21
74,3.57
73,3.46
72,2.95
71,3.36
70,2.85
69,2.8
68,3.62
67,3.05
66,3.05
65,3.05
64,2.8
63,2.8
62,3.21
61,3.21
60,2.59
59,2.49
58,3.31
57,10.2
56,3.31
55,3.72
54,3.72
53,2.85
52,2.85
51,2.85
50,2.85
49,2.85
48,2.38
47,2.8
46,2.8
45,2.33
44,2.33
43,2.28
42,2.26
41,2.26
40,2.21
40,2.23
41,2.23
42,2.23
43,2.23
44,2.28
45,2.26
46,2.74
47,2.74
48,2.33
49,2.33
50,2.8
51,2.38
52,2.38
53,2.38
54,2.38
55,2.38
56,2.85
57,2.85
58,4.15
59,2.85
60,2.08
61,2.64
62,2.64
63,2.74
64,2.74
65,2.38
66,2.38
67,2.95
68,2.54
69,3.05
70,3.1
71,2.74
72,2.8
73,2.85
74,2.9
75,2.95
76,3
77,3.52
78,2.8
79,3.26
80,3.31
81,3.31
